"Sort Order","Pořadí řazení"
"State","Stát"
"State/Region","Stát/Region"
"Subtotal (Excl. Tax)","Mezisoučet (bez DPH)"
"Subtotal (Excl.Tax)","Mezisoučet (bez DPH)"
"Subtotal (Incl. Tax)","Mezisoučet (s DPH)"
"Subtotal (Incl.Tax)","Mezisoučet (s DPH)"
"Subtotal only","Pouze mezisoučet"
"Tax","Daň"
"Tax Calculation Based On","Výpočet daně na základě"
"Tax Calculation Method Based On","Tax Calculation Method Based On"
"Tax Class for Shipping","Daňová třída pro dopravu"
"Tax Classes","Daňové třídy"
"Tax Identifier","Identifikátor daně"
"Tax Rate","Daňová sazba"
"Tax Rate Information","Informace o daňové sazbě"
"Tax Rule Information","Informace o daňovém pravidlu"
"Tax Rules","Daňová pravidla"
"Tax Section","Daňové sekce"
"Tax Titles","Tax Titles"
"Tax rate cannot be removed. It exists in tax rule","Tax rate cannot be removed. It exists in tax rule"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"The tax class has been deleted.","Daňová třída byla odstraněna."
"The tax class has been saved.","Daňová třída byla uložena."
"The tax rate has been deleted.","Daňová sazba byla uložena."
"The tax rate has been imported.","Daňová sazba byla naimportována."
"The tax rate has been saved.","Daňová sazba byla uložena."
"The tax rule has been deleted.","Daňové pravidlo bylo odstraněno."
"This class no longer exists","Tato třída již neexistuje"
"This rule no longer exists","Toto pravidlo již neexistuje"
"This rule no longer exists.","Toto pravidlo již neexistuje."
"Total","Celkem"
"Unit Price","Cena za jednotku"
"Warning tax configuration can result in rounding errors","Upozornění: konfigurace daně může vést k chybám v zaokrouhlování"
"Warning tax configuration can result in unexpected FPT prices on applicable devices","Warning tax configuration can result in unexpected FPT prices on applicable devices"
"Warning tax discount configuration might result in different discounts than a customer might expect","Warning tax discount configuration might result in different discounts than a customer might expect"
"When catalog price includes tax, enable this setting will fix the price no matter what the customer's tax rate is.","When catalog price includes tax, enable this setting will fix the price no matter what the customer's tax rate is."
"Whether catalog prices entered by admin include tax.","Whether catalog prices entered by admin include tax."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Whether shipping amounts entered by admin or obtained from gateways include tax."
"Yes","Ano"
"You cannot delete this tax class as it is used for %d customer groups.","You cannot delete this tax class as it is used for %d customer groups."
"You cannot delete this tax class as it is used for %d products.","Tuto daňovou třídu nelze odstranit, neboť je používána produkty (%d)."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Tuto daňovou třídu nelze odstranit, neboť je používána daňovými pravidly. Nejprve musíte odstranit příslušná pravidla."
"Zip code should not contain characters other than digits.","Psč nesmí obsahovat jiné znaky než číslice."
"Zip/Post Code","PSČ"
"Zip/Post is Range","Zip/Post is Range"
"for store(s)","pro obchod(y)"
