"Account Number","ID účtu"
"Enable","Zapnout"
"Enable IP anonymization","Povolení anonymizace IP adres"
"Google API","Google API"
"Google Analytics","Google Analytics"
"Type","Typ"
"Universal Analytics","Universal Analytics"
